,score,line,time_left,point_time,players,quarter
8,4-5,D-Line,04:56,43s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q1
9,5-5,O-Line,04:02,54s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
10,5-6,D-Line,03:35,27s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q1
11,6-6,O-Line,00:57,2m38s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
12,6-7,D-Line,00:12,45s,"Alanguilan, Barker, Goff, Graffy, Robinson, Swanson, Tornabene",q1
13,6-7,O-Line,00:00,12s,"Arters, Barker, Goff, Janas, North, Shanahan, Shriwise",q1
0,6-8,D-Line,10:34,1m26s,"Barker, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q2
1,7-8,O-Line,08:54,1m40s,"Artemakis, Arters, Janas, Lake, North, Shanahan, Shriwise",q2
2,8-8,D-Line,07:22,1m32s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q2
3,8-9,D-Line,06:53,29s,"Alanguilan, Graffy, Robinson, Schoch, Swanson, Tornabene, Vallee",q2
4,9-9,O-Line,06:08,45s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q2
5,9-10,D-Line,05:02,1m6s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q2
6,9-11,O-Line,02:54,2m8s,"Artemakis, Arters, Barker, Janas, Lake, North, Shriwise",q2
7,10-11,O-Line,01:38,1m16s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q2
8,10-12,D-Line,01:16,22s,"Alanguilan, Graffy, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q2
9,11-12,O-Line,00:07,1m9s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q2
10,11-12,D-Line,00:00,7s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q2
0,11-13,O-Line,10:44,1m16s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q3
1,12-13,O-Line,10:23,21s,"Artemakis, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
2,12-14,D-Line,08:05,2m18s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q3
3,13-14,O-Line,07:40,25s,"Arters, Gibson, Goff, Kaminsky, Schoch, Shriwise, Vallee",q3
4,13-15,D-Line,06:54,46s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q3
5,13-16,O-Line,05:12,1m42s,"Artemakis, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
6,14-16,O-Line,04:12,1m0s,"Arters, Gibson, Goff, Graffy, Kaminsky, Schoch, Vallee",q3
7,14-17,D-Line,03:26,46s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q3
8,15-17,O-Line,02:14,1m12s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
9,15-17,D-Line,00:00,2m14s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q3
0,15-18,D-Line,09:29,2m31s,"Alanguilan, Goff, Graffy, Robinson, Schoch, Swanson, Tornabene",q4
1,16-18,O-Line,08:38,51s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q4
2,16-19,D-Line,07:10,1m28s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q4
3,17-19,O-Line,06:03,1m7s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q4
4,18-19,D-Line,03:33,2m30s,"Alanguilan, Gibson, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q4
5,19-19,D-Line,03:07,26s,"Alanguilan, Arters, Barker, Gibson, Goff, North, Swanson",q4
6,20-19,D-Line,02:21,46s,"Alanguilan, Arters, Barker, Gibson, Goff, North, Swanson",q4
7,21-19,D-Line,01:41,40s,"Alanguilan, Gibson, Goff, Graffy, Kaminsky, Schoch, Swanson",q4
8,21-19,D-Line,00:00,1m41s,"Furse, Gibson, Goff, Graffy, Kaminsky, Schoch, Swanson",q4
0,1-0,O-Line,11:15,45s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q1
1,1-1,D-Line,09:55,1m20s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q1
2,2-1,O-Line,08:54,1m1s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
3,2-2,D-Line,08:02,52s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q1
4,2-3,O-Line,07:03,59s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q1
5,3-3,O-Line,07:02,,"Artemakis, Arters, Barker, Janas, Lake, North, Shriwise",q1
6,3-4,D-Line,06:22,40s,"Alanguilan, Graffy, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q1
7,4-4,O-Line,05:39,43s,"Artemakis, Arters, Barker, Janas, Lake, Shanahan, Shriwise",q1
8,4-5,D-Line,04:56,43s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q1
9,5-5,O-Line,04:02,54s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
10,5-6,D-Line,03:35,27s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q1
11,6-6,O-Line,00:57,2m38s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
12,6-7,D-Line,00:12,45s,"Alanguilan, Barker, Goff, Graffy, Robinson, Swanson, Tornabene",q1
13,6-7,O-Line,00:00,12s,"Arters, Barker, Goff, Janas, North, Shanahan, Shriwise",q1
0,6-8,D-Line,10:34,1m26s,"Barker, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q2
1,7-8,O-Line,08:54,1m40s,"Artemakis, Arters, Janas, Lake, North, Shanahan, Shriwise",q2
2,8-8,D-Line,07:22,1m32s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q2
3,8-9,D-Line,06:53,29s,"Alanguilan, Graffy, Robinson, Schoch, Swanson, Tornabene, Vallee",q2
4,9-9,O-Line,06:08,45s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q2
5,9-10,D-Line,05:02,1m6s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q2
6,9-11,O-Line,02:54,2m8s,"Artemakis, Arters, Barker, Janas, Lake, North, Shriwise",q2
7,10-11,O-Line,01:38,1m16s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q2
8,10-12,D-Line,01:16,22s,"Alanguilan, Graffy, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q2
9,11-12,O-Line,00:07,1m9s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q2
10,11-12,D-Line,00:00,7s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q2
0,11-13,O-Line,10:44,1m16s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q3
1,12-13,O-Line,10:23,21s,"Artemakis, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
2,12-14,D-Line,08:05,2m18s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q3
3,13-14,O-Line,07:40,25s,"Arters, Gibson, Goff, Kaminsky, Schoch, Shriwise, Vallee",q3
4,13-15,D-Line,06:54,46s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q3
5,13-16,O-Line,05:12,1m42s,"Artemakis, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
6,14-16,O-Line,04:12,1m0s,"Arters, Gibson, Goff, Graffy, Kaminsky, Schoch, Vallee",q3
7,14-17,D-Line,03:26,46s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q3
8,15-17,O-Line,02:14,1m12s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
9,15-17,D-Line,00:00,2m14s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q3
0,15-18,D-Line,09:29,2m31s,"Alanguilan, Goff, Graffy, Robinson, Schoch, Swanson, Tornabene",q4
1,16-18,O-Line,08:38,51s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q4
2,16-19,D-Line,07:10,1m28s,"Alanguilan, Gibson, Goff, Graffy, Robinson, Swanson, Tornabene",q4
3,17-19,O-Line,06:03,1m7s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q4
4,18-19,D-Line,03:33,2m30s,"Alanguilan, Gibson, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q4
5,19-19,D-Line,03:07,26s,"Alanguilan, Arters, Barker, Gibson, Goff, North, Swanson",q4
6,20-19,D-Line,02:21,46s,"Alanguilan, Arters, Barker, Gibson, Goff, North, Swanson",q4
7,21-19,D-Line,01:41,40s,"Alanguilan, Gibson, Goff, Graffy, Kaminsky, Schoch, Swanson",q4
8,21-19,D-Line,00:00,1m41s,"Furse, Gibson, Goff, Graffy, Kaminsky, Schoch, Swanson",q4
0,0-1,D-Line,11:40,20s,"Huang, Huynh, I Mackenzie, J Lewis, Kishi, Powell, Turner",q1
1,1-1,O-Line,11:13,27s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
2,1-2,D-Line,09:27,1m46s,"Huynh, Kishi, Kuo, M Mackenzie, Mensah, Ojo, Turner",q1
3,1-3,O-Line,08:16,1m11s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
4,1-4,O-Line,07:14,1m2s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, M Mackenzie, Powell",q1
5,1-5,O-Line,05:49,1m25s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
6,2-5,O-Line,04:11,1m38s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
7,2-6,D-Line,02:41,1m30s,"I Mackenzie, Kuo, M Mackenzie, Mensah, Ojo, Turner, Wong",q1
8,2-7,O-Line,01:48,53s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
9,3-7,O-Line,00:46,1m2s,"Charnock, Huynh, I Mackenzie, Kishi, Mensah, Powell, Turner",q1
10,3-8,D-Line,00:25,21s,"Charnock, Huang, Huynh, I Mackenzie, J Lewis, Ojo, Wong",q1
11,3-8,O-Line,00:00,25s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q1
0,4-8,O-Line,11:04,56s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
1,4-9,D-Line,09:41,1m23s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, Powell, Turner",q2
2,5-9,O-Line,08:51,50s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
3,5-10,D-Line,08:32,19s,"Charnock, Huynh, I Mackenzie, Kishi, Mensah, Ojo, Wong",q2
4,6-10,O-Line,06:58,1m34s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
5,6-11,D-Line,06:10,48s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, Mensah, Turner",q2
6,6-12,O-Line,04:25,1m45s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
7,6-13,O-Line,02:24,2m1s,"Charnock, Hirst, Huynh, I Mackenzie, Kuo, McKnight, Turner",q2
8,7-13,O-Line,01:27,57s,"Comire, Edwards, Harris, J Lewis, M Mackenzie, McKnight, W Lewis",q2
9,7-14,D-Line,00:54,33s,"Charnock, Huang, Huynh, Mensah, Ojo, Turner, Wong",q2
10,7-15,O-Line,00:15,39s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
11,8-15,O-Line,00:00,15s,"Edwards, Hirst, J Lewis, M Mackenzie, McKnight, Turner, W Lewis",q2
0,8-16,D-Line,10:45,1m15s,"Huang, I Mackenzie, J Lewis, Kishi, Mensah, Turner, Wong",q3
1,9-16,O-Line,10:01,44s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
2,10-16,D-Line,08:03,1m58s,"Charnock, I Mackenzie, Kishi, Kuo, Ojo, Turner, Wong",q3
3,10-17,D-Line,04:22,3m41s,"Comire, I Mackenzie, J Lewis, M Mackenzie, Mensah, Turner, Wong",q3
4,10-18,O-Line,03:35,47s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
5,11-18,O-Line,02:37,58s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
6,11-18,D-Line,00:00,2m37s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q3
0,12-18,O-Line,11:34,26s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
1,12-19,D-Line,10:16,1m18s,"I Mackenzie, J Lewis, Kishi, Kuo, Mensah, Ojo, Turner",q4
2,13-19,O-Line,09:42,34s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
3,13-20,D-Line,09:06,36s,"I Mackenzie, Kuo, McKnight, Mensah, Turner, W Lewis, Wong",q4
4,14-20,O-Line,08:12,54s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
5,14-21,D-Line,07:17,55s,"Charnock, I Mackenzie, J Lewis, Kishi, Kuo, Turner, Wong",q4
6,15-21,O-Line,06:19,58s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
7,15-22,D-Line,05:52,27s,"Charnock, I Mackenzie, Kishi, M Mackenzie, Ojo, Turner, Wong",q4
8,16-22,O-Line,03:21,2m31s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
9,16-23,D-Line,02:23,58s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
10,17-23,O-Line,01:29,54s,"Charnock, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q4
11,17-24,D-Line,01:13,16s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
12,18-24,O-Line,00:37,36s,"Charnock, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q4
13,18-25,D-Line,00:06,31s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
0,0-1,D-Line,11:40,20s,"Huang, Huynh, I Mackenzie, J Lewis, Kishi, Powell, Turner",q1
1,1-1,O-Line,11:13,27s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
2,1-2,D-Line,09:27,1m46s,"Huynh, Kishi, Kuo, M Mackenzie, Mensah, Ojo, Turner",q1
3,1-3,O-Line,08:16,1m11s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
4,1-4,O-Line,07:14,1m2s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, M Mackenzie, Powell",q1
5,1-5,O-Line,05:49,1m25s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
6,2-5,O-Line,04:11,1m38s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
7,2-6,D-Line,02:41,1m30s,"I Mackenzie, Kuo, M Mackenzie, Mensah, Ojo, Turner, Wong",q1
8,2-7,O-Line,01:48,53s,"Carroll, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q1
9,3-7,O-Line,00:46,1m2s,"Charnock, Huynh, I Mackenzie, Kishi, Mensah, Powell, Turner",q1
10,3-8,D-Line,00:25,21s,"Charnock, Huang, Huynh, I Mackenzie, J Lewis, Ojo, Wong",q1
11,3-8,O-Line,00:00,25s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q1
0,4-8,O-Line,11:04,56s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
1,4-9,D-Line,09:41,1m23s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, Powell, Turner",q2
2,5-9,O-Line,08:51,50s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
3,5-10,D-Line,08:32,19s,"Charnock, Huynh, I Mackenzie, Kishi, Mensah, Ojo, Wong",q2
4,6-10,O-Line,06:58,1m34s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
5,6-11,D-Line,06:10,48s,"Huang, Huynh, I Mackenzie, J Lewis, Kuo, Mensah, Turner",q2
6,6-12,O-Line,04:25,1m45s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
7,6-13,O-Line,02:24,2m1s,"Charnock, Hirst, Huynh, I Mackenzie, Kuo, McKnight, Turner",q2
8,7-13,O-Line,01:27,57s,"Comire, Edwards, Harris, J Lewis, M Mackenzie, McKnight, W Lewis",q2
9,7-14,D-Line,00:54,33s,"Charnock, Huang, Huynh, Mensah, Ojo, Turner, Wong",q2
10,7-15,O-Line,00:15,39s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q2
11,8-15,O-Line,00:00,15s,"Edwards, Hirst, J Lewis, M Mackenzie, McKnight, Turner, W Lewis",q2
0,8-16,D-Line,10:45,1m15s,"Huang, I Mackenzie, J Lewis, Kishi, Mensah, Turner, Wong",q3
1,9-16,O-Line,10:01,44s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
2,10-16,D-Line,08:03,1m58s,"Charnock, I Mackenzie, Kishi, Kuo, Ojo, Turner, Wong",q3
3,10-17,D-Line,04:22,3m41s,"Comire, I Mackenzie, J Lewis, M Mackenzie, Mensah, Turner, Wong",q3
4,10-18,O-Line,03:35,47s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
5,11-18,O-Line,02:37,58s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q3
6,11-18,D-Line,00:00,2m37s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q3
0,12-18,O-Line,11:34,26s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
1,12-19,D-Line,10:16,1m18s,"I Mackenzie, J Lewis, Kishi, Kuo, Mensah, Ojo, Turner",q4
2,13-19,O-Line,09:42,34s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
3,13-20,D-Line,09:06,36s,"I Mackenzie, Kuo, McKnight, Mensah, Turner, W Lewis, Wong",q4
4,14-20,O-Line,08:12,54s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
5,14-21,D-Line,07:17,55s,"Charnock, I Mackenzie, J Lewis, Kishi, Kuo, Turner, Wong",q4
6,15-21,O-Line,06:19,58s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
7,15-22,D-Line,05:52,27s,"Charnock, I Mackenzie, Kishi, M Mackenzie, Ojo, Turner, Wong",q4
8,16-22,O-Line,03:21,2m31s,"Comire, Edwards, Harris, Hirst, M Mackenzie, McKnight, W Lewis",q4
9,16-23,D-Line,02:23,58s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
10,17-23,O-Line,01:29,54s,"Charnock, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q4
11,17-24,D-Line,01:13,16s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
12,18-24,O-Line,00:37,36s,"Charnock, Comire, Edwards, Harris, Hirst, McKnight, W Lewis",q4
13,18-25,D-Line,00:06,31s,"I Mackenzie, Kishi, Kuo, Mensah, Ojo, Turner, Wong",q4
0,0-1,D-Line,10:45,1m15s,"Arbutine, Diehl , Jones, McKisic, O'Bryan, Plunkett, Witte",q1
1,1-1,O-Line,09:16,1m29s,"Arbutine, Cox, Diehl , Patel, Perales, Plunkett, Travaglini",q1
2,1-2,D-Line,08:51,25s,"Bennett, Lopez, McKisic, Partlow, Perez, Posey, Travaglini",q1
3,1-3,O-Line,07:17,1m34s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q1
4,1-4,O-Line,07:01,16s,"Arbutine, Cox, Diehl , Patel, Plunkett, Posey, Travaglini",q1
5,2-4,O-Line,06:12,49s,"Arbutine, Cox, Diehl , Patel, Plunkett, Posey, Travaglini",q1
6,2-5,D-Line,05:36,36s,"Diehl , Partlow, Patel, Perales, Plunkett, Posey, Travaglini",q1
7,3-5,O-Line,04:46,50s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q1
8,3-6,D-Line,04:11,35s,"Arbutine, Diehl , McDonald, O'Bryan, Plunkett, Posey, Witte",q1
9,4-6,O-Line,03:42,29s,"Cox, Diehl , Lopez, O'Bryan, Patel, Posey, Travaglini",q1
10,4-7,D-Line,03:20,22s,"Bennett, McKisic, Partlow, Patel, Perales, Perez, Travaglini",q1
11,5-7,O-Line,02:23,57s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q1
12,5-8,D-Line,01:44,39s,"Arbutine, Diehl , O'Bryan, Patel, Plunkett, Posey, Travaglini",q1
13,6-8,O-Line,01:11,33s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q1
14,6-9,D-Line,00:04,1m7s,"Arbutine, Diehl , Jones, McDonald, O'Bryan, Patel, Travaglini",q1
15,7-9,O-Line,00:00,4s,"Lopez, McDonald, McKisic, O'Bryan, Perez, Posey, Witte",q1
0,8-9,O-Line,11:14,46s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q2
1,8-10,D-Line,10:33,41s,"Bennett, Lopez, McKisic, Partlow, Perez, Posey, Travaglini",q2
2,8-11,O-Line,08:54,1m39s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q2
3,8-12,O-Line,07:22,1m32s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q2
4,9-12,O-Line,06:51,31s,"Arbutine, Cox, Lopez, O'Bryan, Patel, Plunkett, Travaglini",q2
5,10-12,D-Line,05:19,1m32s,"Diehl , McDonald, McKisic, Perez, Plunkett, Posey, Witte",q2
6,10-13,D-Line,05:18,,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q2
7,11-13,O-Line,04:42,36s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q2
8,11-14,D-Line,03:43,59s,"Arbutine, Diehl , Partlow, Patel, Perales, Plunkett, Posey",q2
9,12-14,O-Line,02:48,55s,"Cox, Diehl , O'Bryan, Patel, Plunkett, Posey, Travaglini",q2
10,12-15,D-Line,02:04,44s,"Bennett, Jones, Lopez, McDonald, Partlow, Patel, Perez",q2
11,12-16,O-Line,00:36,1m28s,"Cox, Delgado, Ordonez, Perales, Perez, Witte, Yañez",q2
12,12-16,O-Line,00:00,36s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q2
0,12-17,D-Line,10:41,1m19s,"Arbutine, Diehl , Jones, McKisic, O'Bryan, Posey, Witte",q3
1,13-17,O-Line,09:35,1m6s,"Delgado, Lopez, McDonald, Ordonez, Perales, Perez, Yañez",q3
2,13-18,D-Line,09:10,25s,"Arbutine, Diehl , Jones, McKisic, O'Bryan, Plunkett, Witte",q3
3,13-19,O-Line,07:08,2m2s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q3
4,14-19,O-Line,06:21,47s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q3
5,14-20,D-Line,05:16,1m5s,"Arbutine, Diehl , Lopez, Patel, Plunkett, Posey, Travaglini",q3
6,15-20,O-Line,03:15,2m1s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q3
7,15-21,D-Line,02:33,42s,"Bennett, Diehl , Lopez, McKisic, Partlow, Plunkett, Posey",q3
8,15-21,O-Line,00:00,2m33s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q3
0,15-22,O-Line,10:47,1m13s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q4
1,16-22,O-Line,08:41,2m6s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q4
2,16-23,D-Line,08:20,21s,"Cox, Diehl , McDonald, O'Bryan, Partlow, Perez, Witte",q4
3,16-24,O-Line,06:39,1m41s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q4
4,16-25,O-Line,05:27,1m12s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q4
5,16-26,O-Line,03:24,2m3s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q4
6,16-27,O-Line,01:29,1m55s,"Cox, Jones, O'Bryan, Partlow, Patel, Plunkett, Travaglini",q4
7,16-28,O-Line,00:32,57s,"Arbutine, Cox, Diehl , McDonald, O'Bryan, Partlow, Patel",q4
8,16-28,O-Line,00:00,32s,"Diehl , Jones, Lopez, McKisic, Partlow, Plunkett, Yañez",q4
0,0-1,D-Line,10:45,1m15s,"Arbutine, Diehl , Jones, McKisic, O'Bryan, Plunkett, Witte",q1
1,1-1,O-Line,09:16,1m29s,"Arbutine, Cox, Diehl , Patel, Perales, Plunkett, Travaglini",q1
2,1-2,D-Line,08:51,25s,"Bennett, Lopez, McKisic, Partlow, Perez, Posey, Travaglini",q1
3,1-3,O-Line,07:17,1m34s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q1
4,1-4,O-Line,07:01,16s,"Arbutine, Cox, Diehl , Patel, Plunkett, Posey, Travaglini",q1
5,2-4,O-Line,06:12,49s,"Arbutine, Cox, Diehl , Patel, Plunkett, Posey, Travaglini",q1
6,2-5,D-Line,05:36,36s,"Diehl , Partlow, Patel, Perales, Plunkett, Posey, Travaglini",q1
7,3-5,O-Line,04:46,50s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q1
8,3-6,D-Line,04:11,35s,"Arbutine, Diehl , McDonald, O'Bryan, Plunkett, Posey, Witte",q1
9,4-6,O-Line,03:42,29s,"Cox, Diehl , Lopez, O'Bryan, Patel, Posey, Travaglini",q1
10,4-7,D-Line,03:20,22s,"Bennett, McKisic, Partlow, Patel, Perales, Perez, Travaglini",q1
11,5-7,O-Line,02:23,57s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q1
12,5-8,D-Line,01:44,39s,"Arbutine, Diehl , O'Bryan, Patel, Plunkett, Posey, Travaglini",q1
13,6-8,O-Line,01:11,33s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q1
14,6-9,D-Line,00:04,1m7s,"Arbutine, Diehl , Jones, McDonald, O'Bryan, Patel, Travaglini",q1
15,7-9,O-Line,00:00,4s,"Lopez, McDonald, McKisic, O'Bryan, Perez, Posey, Witte",q1
0,8-9,O-Line,11:14,46s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q2
1,8-10,D-Line,10:33,41s,"Bennett, Lopez, McKisic, Partlow, Perez, Posey, Travaglini",q2
2,8-11,O-Line,08:54,1m39s,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q2
3,8-12,O-Line,07:22,1m32s,"Delgado, McDonald, Ordonez, Perales, Perez, Witte, Yañez",q2
4,9-12,O-Line,06:51,31s,"Arbutine, Cox, Lopez, O'Bryan, Patel, Plunkett, Travaglini",q2
5,10-12,D-Line,05:19,1m32s,"Diehl , McDonald, McKisic, Perez, Plunkett, Posey, Witte",q2
6,10-13,D-Line,05:18,,"Arbutine, Cox, Diehl , O'Bryan, Patel, Plunkett, Travaglini",q2
7,11-13,O-Line,04:42,36s,"Delgado, Lopez, McDonald, Ordonez, Perez, Witte, Yañez",q2
