YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2015 - LA,7,114,124,4,0,0,-9,165,92.18,--,--,9,13,0,0,0,--,--,103,11,0,--,--,Joe Forbes,regular season
2017 - DC,5,86,81,8,14,1,16,49,92.45,--,--,5,4,0,3,0,--,--,57,29,0,--,--,Joe Freund,regular season
2017 - DC,1,17,18,0,6,1,4,10,83.33,--,--,1,2,0,1,0,--,--,14,3,0,--,--,Joe Freund,post-season
2013 - NJH,16,126,0,2,1,3,-16,339,96.58,--,--,0,12,0,10,0,--,--,106,20,0,--,--,Joe Friedman,regular season
2021 - DC,10,135,170,4,36,3,40,67,93.06,63,1662,6,3,0,0,0,0,0,122,13,0,--,--,Joe Merrill,regular season
2021 - DC,1,11,13,0,3,0,3,2,100,-19,83,0,0,0,0,0,0,0,11,0,0,--,--,Joe Merrill,post-season
2016 - CIN,11,221,219,8,4,6,5,134,91.16,--,--,10,12,0,1,0,--,--,92,129,4,100,5.44,Joe Mozloom,regular season
2014 - CIN,10,201,194,7,6,7,13,60,92.31,--,--,8,5,0,2,0,--,--,43,158,0,--,--,Joe Mozloom,regular season
Career,21,422,414,15,10,13,18,194,91.51,--,--,18,17,0,3,0,--,--,135,287,4,100,5.44,Joe Mozloom,regular season
2012 - IND,1,2,0,1,0,1,2,0,0,--,--,0,0,0,0,0,--,--,1,1,0,--,--,Joe Oaks,regular season
2021 - NY,5,41,41,0,2,0,1,3,75,33,49,0,1,0,0,0,0,0,0,41,1,100,3.43,Joe Ouellette,regular season
2019 - NY,2,19,11,0,0,0,-1,3,75,--,--,0,1,0,0,0,--,--,1,18,1,100,5.33,Joe Ouellette,regular season
2018 - NY,6,66,47,2,4,3,8,11,91.67,--,--,0,1,0,0,0,--,--,2,64,0,--,--,Joe Ouellette,regular season
2016 - NY,7,91,84,5,3,5,7,24,82.76,--,--,2,5,0,1,0,--,--,9,82,2,100,6.35,Joe Ouellette,regular season
