pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,6697.0,23.32,90.95,xpayne
PULL_INBOUNDS,7225.0,-0.35,91.09,nhutton
PULL_INBOUNDS,7412.0,-21.15,87.2,nhutton
PULL_INBOUNDS,6562.0,6.27,88.29,kromard
PULL_INBOUNDS,5502.0,10.34,103.1,jwham
PULL_INBOUNDS,7394.0,21.75,91.63,nhutton
PULL_INBOUNDS,7726.0,-0.89,97.63,kromard
PULL_INBOUNDS,6902.0,-1.23,96.54,nhutton
PULL_INBOUNDS,6000.0,0.0,80.0,jwham
PULL_INBOUNDS,7044.0,-16.24,95.45,nhutton
PULL_INBOUNDS,7008.0,10.85,96.84,dgarlock
PULL_INBOUNDS,5335.0,-6.64,99.99,dgarlock
PULL_INBOUNDS,6577.0,-7.58,103.7,kromard
PULL_OUT_OF_BOUNDS,,0.0,80.0,kpettitsc
PULL_INBOUNDS,4808.0,4.51,87.3,kpettitsc
PULL_INBOUNDS,7994.0,-10.35,109.44,kpettitsc
PULL_INBOUNDS,5224.0,-12.39,102.59,shearne
PULL_INBOUNDS,0.0,3.0,100.0,kgibson
PULL_INBOUNDS,6116.0,9.61,95.16,jtaylor
PULL_INBOUNDS,0.0,-21.22,104.31,jrobinson
PULL_INBOUNDS,8393.0,-9.33,116.35,shearne
PULL_INBOUNDS,5139.0,-15.01,87.59,jtaylor
PULL_INBOUNDS,0.0,0.4,99.95,jrobinson
PULL_INBOUNDS,10631.0,0.0,94.73,shearne
PULL_INBOUNDS,0.0,-5.67,92.11,kgibson
PULL_INBOUNDS,6642.0,20.18,82.06,jtaylor
PULL_INBOUNDS,0.0,-14.05,99.75,jrobinson
PULL_INBOUNDS,15551.0,26.59,59.56,bmatis
PULL_INBOUNDS,0.0,-3.82,88.43,jrobinson
PULL_INBOUNDS,7232.0,-19.75,100.48,shearne
PULL_INBOUNDS,0.0,-1.71,115.9,jrobinson
PULL_INBOUNDS,5953.0,-2.26,107.54,shearne
PULL_INBOUNDS,0.0,24.27,62.11,kgibson
PULL_INBOUNDS,0.0,21.27,85.84,jrobinson
PULL_INBOUNDS,7692.0,-20.92,100.48,shearne
PULL_INBOUNDS,0.0,-3.96,92.59,jrobinson
PULL_INBOUNDS,13795.0,25.79,61.67,bmatis
PULL_INBOUNDS,5476.0,-8.97,99.75,shearne
PULL_INBOUNDS,0.0,-5.8,91.84,jrobinson
PULL_INBOUNDS,7603.0,-6.27,106.09,shearne
PULL_INBOUNDS,0.0,-14.94,114.68,jrobinson
PULL_INBOUNDS,7908.0,-7.58,100.12,shearne
PULL_INBOUNDS,7330.0,18.43,80.82,rlinehan
PULL_INBOUNDS,0.0,-4.17,90.81,kgibson
PULL_INBOUNDS,8482.0,-12.61,91.09,shearne
PULL_INBOUNDS,0.0,-3.76,101.65,jrobinson
PULL_INBOUNDS,10186.0,26.52,62.33,bmatis
PULL_INBOUNDS,7939.0,-8.97,109.22,shearne
PULL_INBOUNDS,0.0,-3.21,106.43,jrobinson
PULL_INBOUNDS,6946.0,-6.34,100.7,rlinehan
PULL_INBOUNDS,0.0,21.82,73.77,kgibson
PULL_INBOUNDS,0.0,-1.51,100.0,jrobinson
PULL_INBOUNDS,13848.0,-25.58,55.48,bmatis
PULL_INBOUNDS,0.0,25.91,64.77,jrobinson
PULL_INBOUNDS,7776.0,-2.56,104.49,shearne
PULL_INBOUNDS,0.0,23.52,70.09,jrobinson
PULL_INBOUNDS,0.0,-4.85,98.38,parters
PULL_INBOUNDS,0.0,-2.32,89.79,parters
PULL_INBOUNDS,0.0,15.48,81.06,kgibson
PULL_INBOUNDS,0.0,4.91,80.79,kgibson
PULL_INBOUNDS,5342.0,0.65,93.13,gmartin1
PULL_INBOUNDS,6942.0,16.02,99.99,jzhao
PULL_INBOUNDS,6821.0,12.96,100.0,jzhao
PULL_INBOUNDS,7813.0,23.38,91.38,ghernande
PULL_INBOUNDS,6912.0,11.94,94.51,gmartin1
PULL_INBOUNDS,5026.0,11.14,82.2,ccunningh
PULL_INBOUNDS,2825.0,-22.88,65.67,sworthing
PULL_INBOUNDS,8486.0,19.16,77.69,ghernande
PULL_INBOUNDS,8139.0,16.75,100.19,gmartin1
